step	loss
0	0.001386188785545528
0	0.0037091788835823536
0	0.006757242605090141
0	0.0008817611960694194
0	0.001212884671986103
0	0.0018691823352128267
0	0.0012795468792319298
0	0.0010121742961928248
0	0.0025293310172855854
0	0.002530644414946437
0	0.0031114581506699324
0	0.0009520208113826811
0	0.00042858548113144934
0	0.001706836512312293
0	0.0025220727548003197
0	0.004039840307086706
0	0.0024293791502714157
0	0.0017572921933606267
0	0.0019097710028290749
0	0.003542510559782386
0	0.0013877595774829388
0	0.0026974761858582497
0	0.00326361833140254
0	0.000917136378120631
0	0.0033032852225005627
0	0.0018884408054873347
0	0.0052649956196546555
0	0.002013358986005187
0	0.003592986613512039
0	0.0012811896158382297
0	0.0019794106483459473
0	0.002136969706043601
0	0.0015865650493651628
0	0.0022969963029026985
0	0.001996064791455865
0	0.0012028547935187817
0	0.00032771367114037275
0	0.0021237109322100878
0	0.0049095768481493
0	0.003529384033754468
0	0.0020397284533828497
0	0.0031876168213784695
0	0.00303634162992239
0	0.0006917355349287391
0	0.0020587940234690905
0	0.0007191391778178513
0	0.0016805087216198444
0	0.0016066101379692554
0	0.003111261874437332
0	0.0013803672045469284
0	0.0008772789151407778
0	0.0004943246603943408
0	0.005127687472850084
0	0.0009811954805627465
0	0.002338570076972246
0	0.001337159308604896
0	0.003270969493314624
0	0.002529677003622055
0	0.0015962013276293874
0	0.0032978991512209177
0	0.007823002524673939
0	0.003002382814884186
0	0.0037197088822722435
0	0.0002795460168272257
0	0.0014682941837236285
0	0.002165787387639284
0	0.001363807008601725
0	0.0016956862527877092
0	0.0033399504609405994
0	0.004424411803483963
0	0.0043244874104857445
0	0.0012921415036544204
0	0.0031302436254918575
0	0.0007835894939489663
0	0.005204896442592144
0	0.0023003958631306887
0	0.001653707935474813
0	0.0014862093375995755
0	0.0014956473605707288
0	0.00035199738340452313
0	0.006690106820315123
0	0.001630207640118897
0	0.001328206155449152
0	0.0030403612181544304
0	0.0030566451605409384
0	0.004040926694869995
0	0.0008700129692442715
